Code INS;Entités administratives;Langue;Code NIS;Administratieve eenheden;Taal;;;;;;;;;
11052;Wommelgem;N;11052;Wommelgem;N;;;;;;;;;
11053;Wuustwezel;N;11053;Wuustwezel;N;;;;;;;;;
11054;Zandhoven;N;11054;Zandhoven;N;;;;;;;;;
11055;Zoersel;N;11055;Zoersel;N;;;;;;;;;
11056;Zwijndrecht;N;11056;Zwijndrecht;N;;;;;;;;;
12000;Arrondissement de Malines;;12000;Arrondissement Mechelen;;;;;;;;;;
12002;Berlaar;N;12002;Berlaar;N;;;;;;;;;
12005;Bonheiden;N;12005;Bonheiden;N;;;;;;;;;
12007;Bornem;N;12007;Bornem;N;;;;;;;;;
12009;Duffel;N;12009;Duffel;N;;;;;;;;;
12014;Heist-op-den-Berg;N;12014;Heist-op-den-Berg;N;;;;;;;;;
12021;Lierre;N;12021;Lier;N;;;;;;;;;
12025;Malines;N;12025;Mechelen;N;;;;;;;;;
12026;Nijlen;N;12026;Nijlen;N;;;;;;;;;
12029;Putte;N;12029;Putte;N;;;;;;;;;
12041;Puurs-Sint-Amands;N;12041;Puurs-Sint-Amands;N;;;;;;;;;
12035;Sint-Katelijne-Waver;N;12035;Sint-Katelijne-Waver;N;;;;;;;;;
12040;Willebroek;N;12040;Willebroek;N;;;;;;;;;
13000;Arrondissement de Turnhout;;13000;Arrondissement Turnhout;;;;;;;;;;
13001;Arendonk;N;13001;Arendonk;N;;;;;;;;;
13002;Baerle-Duc;N;13002;Baarle-Hertog;N;;;;;;;;;
13003;Balen;N;13003;Balen;N;;;;;;;;;
13004;Beerse;N;13004;Beerse;N;;;;;;;;;
13006;Dessel;N;13006;Dessel;N;;;;;;;;;
13008;Geel;N;13008;Geel;N;;;;;;;;;
13010;Grobbendonk;N;13010;Grobbendonk;N;;;;;;;;;
13011;Herentals;N;13011;Herentals;N;;;;;;;;;
13012;Herenthout;N;13012;Herenthout;N;;;;;;;;;
13013;Herselt;N;13013;Herselt;N;;;;;;;;;
13014;Hoogstraten;N;13014;Hoogstraten;N;;;;;;;;;
13016;Hulshout;N;13016;Hulshout;N;;;;;;;;;
13017;Kasterlee;N;13017;Kasterlee;N;;;;;;;;;
13053;Laakdal;N;13053;Laakdal;N;;;;;;;;;
13019;Lille;N;13019;Lille;N;;;;;;;;;
13021;Meerhout;N;13021;Meerhout;N;;;;;;;;;
13023;Merksplas;N;13023;Merksplas;N;;;;;;;;;
13025;Mol;N;13025;Mol;N;;;;;;;;;
13029;Olen;N;13029;Olen;N;;;;;;;;;
13031;Oud-Turnhout;N;13031;Oud-Turnhout;N;;;;;;;;;
13035;Ravels;N;13035;Ravels;N;;;;;;;;;
